,view,danmaku,reply,favorite,coin,share,like
view,1.0,0.3844415377279598,0.4105254520428616,0.61164517052568,0.42421576390899135,0.4230356083811437,0.7476899252061626
danmaku,0.3844415377279598,1.0,0.6514389154271384,0.30203779954037824,0.564936464866708,0.3403281592129534,0.31834100584445246
reply,0.4105254520428616,0.6514389154271384,1.0,0.34958441295163434,0.5109918105187655,0.594581231475348,0.3912066521206015
favorite,0.61164517052568,0.30203779954037824,0.34958441295163434,1.0,0.6539039486516222,0.5701444594962307,0.6515059872513308
coin,0.42421576390899135,0.564936464866708,0.5109918105187655,0.6539039486516222,1.0,0.5098689376962083,0.5991812926934236
share,0.4230356083811437,0.3403281592129534,0.594581231475348,0.5701444594962307,0.5098689376962083,1.0,0.4616993346971902
like,0.7476899252061626,0.31834100584445246,0.3912066521206015,0.6515059872513308,0.5991812926934236,0.4616993346971902,1.0
